names,course_id,units,description,learning_outcome
Business Development,93856,6," Business development uses the lenses of strategy and commercialization to identify opportunities for expansion and growth. It relies heavily on its functional cousins - Sales, Marketing, Finance and Corporate Strategy. Each functional area will be explored within the various sectors of the entertainment industry through class discussions, assignments and a final project. In this class, we will focus on business development in media and entertainment. • The class will examine how entertainment executives leverage product development, sales and marketing opportunities to facilitate growth. • We will discuss how to effectively be an entrepreneur while navigating relationships inside and outside the corporation. • Students will explore the development of business models, alternative monetization strategies, and develop a POV on investment/funding as well as mergers and acquisitions (M&A). • We will cover topical challenges and decisions that entertainment executives face in today’s fragmented and digitally enabled landscape including platform segmentation, cross-marketing, product windowing, and bridging the culture gap between Silicon Valley and Hollywood.","Learning Outcomes: The objectives of this class are to convey a broad understanding of the role of a business development executive, develop POV about trends and challenges facing the entertainment industry, and how to navigate a cross functional corporate world. By the end of the course, students should be able to: How Assessed Understand the role of the business development executive and how they fit in the overall corporate landscape. Differentiate how various disciplines affect the development and execution of business growth strategy including competitive market analysis,alternative business models and principles of marketing, pricing, business to consumer/business to business marketing, and distribution models. Identify tools and practices that affect change and promote growth to a business with consideration to all constituencies. Articulate how a business development executive incorporates innovation into the marketplace within a corporate structure."
Business of Gaming,93857,4," This four-week class will focus on the business aspects that relate to the gaming industry. This industry has grown quickly in the last 25 years to overtake theatrical motion pictures as a leading source of commercial entertainment – in content development, distribution and the licensing of its IP. The course will focus on the ways in which its creative and business practices are both unique, and also share common characteristics with other forms of screen-based entertainment. The course will focus on the following key areas: - The publishing business model, and how Games evolved from and relate to software distribution. Covered material will include: licensing agreements, the development and ownership of Intellectual Property, and the impact of software piracy on business models. - The game publishers, and an overview of the key companies and competing business strategies, including game genres, key titles/franchises, management of developer relationships, and the publishers’ relationships with licensors and licensees (primarily vis-à-vis the motion picture business). - The lexicon and how to effectively communicate with buyers and sellers of Intellectual Property. - The production process, and how to reconcile with film and television production timelines and milestones. Covered material will include: the game development process from inception through release – including visual and character development, level design, play testing, level testing,coding, game engines, animation & motion capture. - The future of the game business and an overview of current trends including digital distribution, iOS/Android, freemium vs. paid models and how they impact rights allocations and revenue streams.","Learning Outcomes: Speak literately regarding exploitation of intellectual property to and from the game business. Final in Class Presentation. List and describe the production and distribution pipelines relevant to a game project. Final Written Presentation. Understand the use of games to engage,leverage and extend the consumer’s relationship with intellectual property. Class Discussion/Final Written Presentation. Look at the commercial potential of Intellectual Property migration between games and film as well the game industry’s role in platform agnostic content. Class Discussion. Consider gaming influence on other media arts. Class Discussion. Develop an appropriate gaming vocabulary. Final in class presentation/ Final Written Presentation. Discover effective ways to examine business policy and practices at gaming companies. Class Discussion."
Market Research in the Entertainment Industry,93858,3," This course will cover the primary applications of market research by entertainment companies, using the film industry as the template for this coverage, with the recognition that the principles and concepts discussed in the class are basic to good research practices in any business or industry, and are fundamental to research employed in the television, music, gaming and other entertainment industries. My hope is that this class will be both enlightening and enjoyable. My goal is that by the end of this class you will be ready to be well-informed consumers of research at whatever company or occupation you go on to after graduation. This class is not intended to prepare you for careers in market research, although several recent graduates of this program have found jobs at research companies. Rather, it is meant to equip you with the knowledge you will need to understand and evaluate the research findings you will encounter as entertainment industry executives. The more you know about how research is conducted, what it can and cannot do, and what is required for any research project to be valid and useful, the better able you will be to benefit from it.","Learning Outcomes: The objectives of this class are to convey and develop a broad understanding of how research is used in the entertainment industry. By the end of the course, students should be able to: Identify the practice of marketing entertainment content in a variety of platforms, especially movies and television, and the role of research in that practice. Identify the ways that research can make executives more effective in their jobs as marketers, content developers and company managers. Present how research can connect entertainment executives with the audiences and purchasers of the content they produce and market. Demonstrate what research can and, just as importantly, what it cannot do."
Music in the Media,93859,3," Music and all forms of entertainment are inextricably tied. From the earliest development of human expression to the technologically diverse present, visuals, performances, marketing, and play of all kinds, have utilized music to tell stories. Music in programming (movies/ TV shows/ games) is arguably the most influential method for exposing audiences to new artists and heightening the reach of superstars and/or classic artists. Today Music Supervision has transcended the simple goal of licensing songs for use in programming. The role can, and often does, serve as the key liaison between artists, labels, composers, directors, show runners, networks, finance, business and legal affairs, producers, marketing, consumer products, and press. The goal of this class is to provide students with the broadest understanding of the job of Music Supervisor as well as the potential of music supervision as a career to parallel the hierarchy in production generally. From the PA role assisting the Music Supervisor working on a project at the production level, to the senior executive shaping a broad network/company music strategy, we will focus on the tools necessary to understand the realities and envision the possibilities. We will also focus on the resources and processes for discovering artists, negotiating with rights holders, navigating the creative process effectively, satisfying business and legal affairs protocol, and pushing the role of music (and artists themselves) in broad strategic thinking beyond the final produced project.","Learning Outcomes: The objectives of this class are to convey a broad understanding of how the role of the music supervisor and how one navigates the creative process effectively. By the end of the course, students should be able to: Examine and Evaluate the creative process of choosing and incorporating music into a production (TV, Film, Video Game etc). The art of it. Articulate a cursory knowledge of the licensing issues, copyright/publishing concerns, and the various roles and stakeholders that are participants in any negotiation. The business of it. Analyze the role of networks, producers, creatives and legal that are vital to the process. The psychology of it. Gain understanding of the continuum from finding ‘the song’ to seeing it locked in a project. Between those points students will become familiar with ‘needle drops’, composing issues, cue sheet creation and delivery, custom licensing arrangements vs. boiler plate agreements, in the creation of a movie, video game, or TV show. The reality of it. Investigate various existing projects that inspire and exemplify successful music supervision. The beauty of it."
The Economy of a Record Label,93860,3," A 4-week crash course in the business of music. Students will walk away from this course with a concrete understanding of the existing business models and economics, inner-workings of a major label, “the team” responsible for breaking new artists and building a bigger brand for existing superstars. The goal of this class is to give students a firm understanding of the industry landscape, record label operations and roles, and a realistic approach in navigating it all. By the end of the course, students should be able to create a go-to-market strategy, plan and orchestrate a successful campaign, mobilize “the team”, remove barriers, solve problems and turn challenges into opportunities.","Learning Outcomes: Objective #1 Understand the evolution, landscape, and nuts-and-bolts of the music industry, and be able to articulate this effectively Assessment #1 Class Discussion Objective #2 Recognize and illustrate the “team” and explore the fundamental operations of the artist, as well as the connections between artist and fan Assessment #2 Class Discussion; Quiz Objective #3 Evaluate case studies and successfully redesign the go-to-market strategy to create a winning campaign. Students will need to approach business objectives through the different lenses of the team, challenge business objectives through their concrete understanding of the industry, and remove barriers to strengthen opportunities. Assessment #3 Class Discussion Case Study Objective #4 Articulate a go-to-market strategy and action plan. Assessment #4 Final Presentation"
Script/Story Analysis,93861,6," **This course is limited to students in the Heinz College MEIM program** This course is aimed at gaining a better understanding of the creative process in both film and television as it relates to story and script analysis. Topics will include character development; dramatic tone, styles, genres, the adaptability of source material into scripts and the creative process from the point of view of the writer. Further emphasis will be given to generating ideas and concepts; networking and readers.","Learning Outcomes: Learning Objective Analyze story logic and structure by looking at the works from Aristotle to Vogler. Gain experience in preparing pitches, script coverage as you learn to identify strengths and weaknesses of literary material Develop effective ways to pitch and hone presentation skills Recognize the viability of source material and how to adjust story based on development notes Examine the roles of the writer/ development executive within the production food chain. Provide historical reference to the role of the writer • In-class discussion • Generating Ideas: The Next Step"
Digital Strategy,93862,3," This course explores various social media platforms and how they fit into a studio’s marketing plan. By studying real-world examples from studios, networks, cable and OTT providers, independent distributors, MCNs and other outlets and platforms you will learn practical techniques as well as big-picture strategies. In the process, you'll execute numerous assignments, including writing and promoting your own social media.","Learning Outcomes: Goals & Objectives: At the end of this term, students should be able to... 1. Critically evaluate various social media and determine their uses and drawbacks. 2. Understand branding and how brands are perpetuated, enhanced and damaged online. 3. Analyze the various stakeholders and how to integrate their needs into a campaign. 4. Distinguish between rules, conventions, etiquette, ethics, and best practices. 5. Plan a social media marketing campaign to achieve measurable objectives."
Music Monetization & Song Realities,93864,3," A multitude of contradictions and complications exist within the music industry. According to the Recording Industry Association of America, music revenues in 2016 were the highest they’ve been in over eight years with the largest year-over-year percentage increase in over 18 years. However, these numbers do not reflect the tumultuous waters in which those connected to the music industry find themselves today. While streaming services have increased accessibility, the issues of piracy and artist control are of grave concern. This course will examine how the record labels and publishers are responding to the changing economy of the music industry. Discussions will address the big players in the music industry (Sony Music, Universal Music, Warner Music Group, Sony/ATV, & UMPG) as well as indie record labels’ business strategy, how legal aspects of the music industry effect artists, publishers, and consumers (digital rights management, etc.), as well as the ever-increasing reliance on streaming and the technical companies providing music services. Topics to be examined include copyright law, label and publishing agreements with artists, and backend monetization of assets.","Learning Outcomes: • Understand the important legal issues related to creating, recording, and performing commercial music (Class Discussion) • Articulate the various aspects of track royalties for labels and publishers including sync licensing and digital streaming (In class project; Written final exam) • Recognize the various aspects of music publishing, record label, recording, and artist agreements (Class discussion; Written final exam; In class project) • Describe how copyright law applies to the commercial music industry regarding various Union obligations (Class discussion; In class project) • Identify the major technical advancements in the music industry and how it is affecting both artists and consumers (Class discussion)"
Future of Industry,93865,3," The entertainment industry in the 21st century is changing significantly on creative, technical and business levels. This course will present an overview of how the latest developments across business, technology and storytelling are transforming the industry. The course is updated each year to reflect the latest trends and takeaways. Conducted in a seminar format, students are encouraged to express their opinions and to engage with one another over the factors they perceive as affecting the growth and development of what will become, in fact, their industry. Each session will explore a different set of perspectives on these evolving developments, including: - Storytelling – What are the narrative trends and 21st century paradigm shifts that are emerging for the future? - Technology – How digital technology is affecting the way content is produced, distributed and consumed? - Business – What are the emerging models, practices, and paradigms that are taking over from 20th century models and practices to ensure adequate monetization and growth?","Learning Outcomes: Define the major future-oriented trends across three aspects of the industry: Storytelling, Business, and Technology Build awareness of those trends, and their relationship to older, established industry conventions and practices Assess the potential risks to traditional industry practices across the three aspects and model potential future scenarios within each aspect Share the opinions of industry experts within each aspect as to the effects of these developments on their work, and where they think these trends will continue to impact the industry"
Creative Producing,93866,6," Creative Producing: Visuals and Vision. This course focuses on the main interpreters of the script (producers, directors and their teams) from the POV of an instructor who has worked primarily as a director and writer with a strong producorial hand. Topics will include choice of material, and early creative discussions with an emphasis on visual language, story, character and the various components used to bring an idea from page to screen. Also examined will be the producer and director’s function as it relates to other key positions within the entertainment industry. Classroom participation is mandatory in this course (presenting projects, defending them and critiquing others).","Learning Outcomes: Develop a visual vocabulary Analyze examples of creative decisions and how they affect the business of “show” Explore ways to problem solve with specificity in a creative manner Examine the roles of the Producer/Director in regards to others on the creative team Learn to compromise effectively, but defend your vision Develop skills in pitching and selling yourself in the room as a creative producer"
Entertainment Ethics,93868,3," This course is aimed at providing an introduction to the moral complexities that working professionals face in the entertainment industry, a business that places profit and artistic freedom above all else. The course will also look at Free Speech and the First Amendment as it relates to artistic decisions (including hard news and entertainment news). Specific dilemmas will be offered that class members will have to resolve using ethical philosophies that one may come across in the entertainment industry. These include Cultural Relativism, Ethical Egoism, Behaviorism, Utilitarianism, and Situational Ethics. Students will be challenged to consider the multitude of decisions available as one pursues an employment field that often celebrates and promotes those who break the rules.","Learning Outcomes: The objectives of this class are to convey and develop a broad understanding of how research is used in the entertainment industry. By the end of the course, students should be able to: • Identify the evolution of ethical reasoning within the entertainment industry • Articulate the primary ethical philosophies and how they apply within the industry. • Evaluate the major case studies that have effected the industry • Examine your own set of moral principles and acknowledge how they may influence your decisions in the entertainment field • Demonstrate how compromise alters the relationship between the artistic development of ideas and the needs of the Hollywood production machine"
Television Economics,93869,6," Course Description: The goal of this class is to provide students with the solid economic and structural fundamentals of the U.S. television industry, from real life development and production and financing paradigms to business and marketplace fundamentals (with a bit of practical theory thrown in for good measure).","Learning Outcomes: Course Objectives: • To critically examine and master the main economic models for commercial television production and distribution in the U.S. • To become comfortable with the business complexities that regularly confront television creative and production executives. • To learn about the life cycles of ancillary products and how they affect the potential profitability and risk of the principal programs they are based on, including financing • arrangements, the advertising market and syndication. • To understand how “backend” participation formulas actually play out in the real world and affect decisions to produce and/or distribute content. • To appreciate and become familiar with the day-to-day financial realities of TV • development and production."
Television Business and Legal Affairs,93871,9," Course Description: The goal of this class is to provide students with a practical understanding of how a typical major studio Television Business & Legal Affairs department fits into today’s Production and vertically integrated Studio/Network environment. In addition, students will become acquainted with basic deal terms, contractual provisions utilized in the television industry, as well as practical advice on negotiation tactics & skills and reading and understanding budgets.","Learning Outcomes: Course Objective: • Articulate how a typical studio television Business & Legal Affairs department fits into today’s vertically integrated Studio/Network environment • Build awareness of basic deal terms and contractual provisions utilized in the television industry • Develop negotiation tactics & skills • Recognize and understand a TV pilot and series budgets • Assess the value of “Above-the-Line” deals (Producers, Writers, Actors, Directors) and general guild issues"
Film Exhibition,93873,3," Understanding the Film Exhibition Industry is key to conceptualize, create and launch content. The economic rationale is the driver behind the films, which maintain the industry profitability and henceforth guarantee the sustainability of the sector over time.","Learning Outcomes: At the end of the course, students will be able to understand and identify the critical factors in the success of film exhibition management in order to make the best decisions based on the economic rationale. The course will allow students to contribute value to any of the three perspectives of the film industry´s value chain: production, distribution or exhibition. Describe and use the criteria to identify a successful theater site location. Understand and analyze the different market needs in order to establish the most efficient criteria for the film booking process. Identify the nature of the relationship between the booking agents and the exhibitors in order to achieve the best win-win situation during film booking negotiations. Analyze the market trends in order to design successful marketing programs accordingly with the different variables that affect attendance during the different seasons of the year. Describe the technological trends in the sector as a key factor for innovation and improvement in service & experience design. Describe the technological trends in the sector as a key factor for innovation and improvement in service & experience design."
Television Marketing and Advertising,93876,6," Course Description: This course is designed to provide a comprehensive look at one of the most powerful mediums in existence today: Advertising & Marketing on broadcast and cable television. Focus will be given to the marketing of television shows and networks. How digital technology is changing the television landscape for businesses, viewers and marketers. The history of advertising on television and what the future of the industry might be will also be addressed. The class will encompass both the marketing of television to the viewer and how advertisers are finding new ways to use television to reach viewers.","Learning Outcomes: Course Objectives: • To analyze and understand the role of marketing in the dynamic TV landscape, examining past and current TV business models as well as forecasting future models • To understand different television distribution systems, including broadcast networks, affiliates, cable networks, SVOD and MVPDs • To understand brand strategy and the impact and importance of brands on media • To understand audience segmentation and targeting – who’s watching, why are they watching, where are they watching and how can marketing influence viewer behavior • To understand the different marketing disciplines (creative, media, affiliate/distribution, digital/social, promotions and partnerships) • To understand how to translate Marketing Strategy into executable, targeted tactics that together create a holistic marketing plan"
Branded Entertainment,93878,3," Price is not the only measure of value for consumers. Perceived value is derived from a combination of characteristics including quality, reliability, positive or negative associations, and memorability, to name a few. These are not only factors that impact a consumer’s purchase decision, but also qualities that make up a brand. Strong brands, then, build equity and real financial value for companies. Building and maintaining a brand is a philosophical and tactical undertaking. In this course, students will build a foundational understanding of branding through class discussions, articles and case studies. Students will examine the difference between brand and marketing/communications as well as the importance of brand as business and it’s application to global branding. They will also examine how a company finds and communicates value proposition relative to their competitors, users and communities at large. Students will consider the impacts of brand valuation as well as the spectrum of branded content. Class participants will look at how branded content is evolving with new technology and communications methods. Students will then be able to apply this groundwork to various marketing and communications tactics globally and across all media platforms, both traditional and modern.","Learning Outcomes: - Articulate what brand is, why it is important and how it can be applied to the business as a whole - Understand value propositions and brand positioning - Define what brand equity is, what factors contribute to this value and how it’s built and managed across or within brands and geographic regions - Understand brand applications to content and the spectrum of branded entertainment"
Navigating the Practical Realities of the Film Industry,93879,3," The course will be an in-depth analysis of the entertainment industry, specifically, the movie and theater businesses and transformations in the digital era. The class will highlight talent representation (agents, managers, lawyers, etc.), film packaging, the studio system, and the transitions between screen to stage with some attention to Broadway theatre. The class will indoctrinate participants into the language and dynamics of the industry through the eyes of an insider to help prepare students for the practical realities of entering, building, and sustaining a career in the entertainment field. In other words, this class focuses on examining the basic ‘nuts and bolts’ of the industry and the changing landscape due to the rapidly evolving distribution models.","Learning Outcomes: By the end of the course, students should be able to: • Gain an overview of the entertainment industry. • Scrutinize the “game-board” of Hollywood: objectives, players, language and rhythms of the movie business. • Analyze and understand the agency business (touching on managers, lawyers, publicists) • Examine the studio system, the production companies and the producers • Gather and apply practical information vital for having a career in the entertainment industry today"
Capstone Project I,93889,3," The Capstone Project is a two-semester applied research project that represents the final requirement of the Master of Entertainment Industry Management (MEIM) Program. The Capstone provides the opportunity for students to apply the sum knowledge and skills gained from the MEIM program to real world issues facing the entertainment industry. Working in teams, and in consultation with industry professionals, students will define, outline and deliver an in-depth examination of a specific research topic, fulfilling a series of deliverables over the course of the project, and adhering to established research project formats and guidelines.",
Capstone Project II,93890,9," The Capstone Project is a two-semester applied research project that represents the final requirement of the Master of Entertainment Industry Management (MEIM) Program. The Capstone provides the opportunity for students to apply the sum knowledge and skills gained from the MEIM program to real world issues facing the entertainment industry. Working in teams, and in consultation with industry professionals, students will define, outline and deliver an in-depth examination of a specific research topic, fulfilling a series of deliverables over the course of the project, and adhering to established research project formats and guidelines.",
Independent Study Courses,94100,," *94-100 is a generic course number to capture all Independent Study Courses for the purposes of this course catalog. The actual course number will vary.* Independent Study and Directed Reading courses allow for one-on-one interaction between a professor and a student. These courses allow you the flexibility to direct your own coursework. It is a faculty member’s discretion whether to take on an independent study or not, therefore independent studies generally are built upon mutual interests of the student and faculty member. You and the professor should agree in advance on a program of study and a method of evaluation. The number of course units should equal the expected number of hours per week required during the semester. To receive approval for an independent study course, you must submit an 'Independent Study Contract' to the faculty advisor accompanied by a memorandum which describes the plan for this independent study or directed reading course and includes the number of units to be earned, the outcome of the independent study (i.e., a paper or series of papers, etc.). The faculty advisor must sign the petition and the memorandum. These should be submitted to the Program Director prior to beginning your study; without this memo, you will not receive credit for this course. Independent study courses may only be directed by full-time faculty at the Heinz College unless permission is received in advance from the Program Director. You may not count independent study or directed reading courses toward fulfilling requirements in the Common Core or towards completion of your degree without approval from your Program Director. If you wish to take more than 12 units of such courses, you must submit a petition to the Associate Dean no later than one week prior to the add/drop deadline for the mini or semester.",
Organizational Design And Implementation,94700,6," This introductory course (there are no prerequisite courses) is designed to improve your effectiveness as a manager and leader by introducing you to frameworks for understanding organizations and organizational processes. Organizations have been studied from the perspective of several social science disciplines, including psychology, sociology, economics, anthropology and political science. The field on which this course is based, organizational behavior, draws from all of these disciplines and applies the insights derived from the pertinent research. This course will introduce you to this research and ways to apply the knowledge to particular situations through your analysis and subsequent class discussion of case studies.","Learning Outcomes: Take an holistic approach to addressing issues facing an organization. Apply frameworks and theories to analyze situations in which organizations are undergoing change. Apply frameworks and theories to analyze tools and methods used to empower, inspire and hold accountable members of an organization. Identify and clearly define a problem/issue; analyze and question data and information in a rigorous manner. Listen to, respect and heed the advice and ideas of others."
Business English,94701,6," This course provides a solid foundation for writing business correspondence. Topics include business letters, email etiquette, executive summaries, memos, performance evaluations, and proposals. Emphasis is placed on developing clear, concise, and persuasive messages for targeted audiences. Weekly grammar lessons are integrated into course content for non-native English speakers.","Learning Outcomes: OBJECTIVES (using Bloom’s revised taxonomy) Students will be able to... - Identify appropriate business formats for writing. - Demonstrate knowledge of subject matter through the use of business terms and concepts. - Exhibit ability to write succinctly, logically, and influentially for an intended audience. - Differentiate professional writing versus personal and academic writing. - Evaluate the effectiveness of professional language, defined voice, and appropriate style. - Discuss how effective writing can be utilized as a tool for building and maintaining professional relationships."
Professional Writing,94702,6," Communication in written form is an essential element of management. Employers value talent with an aptitude for the effective exchange of information and ideas. Accordingly, this course focuses on teaching transferable writing skills pertaining to content, organization, format, clarity, and tone. The course challenges students to convey critical thinking as they anticipate the perspectives of stakeholders in professional situations, consider feasibility, evaluate options, and provide recommendations. Class meetings entail readings, discussions, and editing sessions on the following topics: business correspondence, press releases, Web content, consulting reports, executive summaries and proposals. Coursework emphasizes precise, concise, persuasive writing based on authoritative sources. Overall, students are expected to demonstrate an interest in professional development beyond simply completing the assignments. Writing resources and sample documents are provided.","Learning Outcomes: This course is intended to: 1) Provide you with a model for strategic thinking, 2) Increase your appreciation of audiences, 3) Improve your writing and expression of ideas, 4) Increase your vocabulary, and 5) Reduce your fear of writing while increasing your ability to achieve your objectives"
Health Economics,94705,12," This course will teach the student to use economic analysis to understand critical issues in health care and health policy. We will address issues such as the following: 1. What factors best explain the level and rate of growth of U.S. health expenditures? 2. Does the recent high rate of growth of U.S. health care expenditures make U.S. firms less competitive in international markets? 3. What are some of the likely consequences (intended and unintended) of the proposed reforms to Medicare? 4. Can physicians induce demand for their services? 5. What are the impacts of managed care on the health care system? 6. Do strong affiliations between physicians and health plans hurt competition? The student who successfully completes this course will be able to: 1. Identify the flow of resources in the U.S. health care system, how purchasers pay for their services, and how providers obtain their revenues. 2. Understand the value of health and health care. 3. Evaluate how health care resources should be allocated. 4. Describe the structure of the health insurance industry, explain the incentives facing insurers, understand the strategies they use to compete and their impacts on social welfare. 5. Understand the demand for medical care, and what role providers play in shaping this demand. 6. Explain the economics of managed care and describe how competition works in health care. Class will consist of lectures and group presentations. Evaluation will include homework problems, group projects, and exams. This course will interest any individual planning a career in health or related industries. It will also be of interest to students who wish to understand how economics is applied to some of our most prominent and contentious policy issues. Skills: Prerequisites: Students should have had at least one semester of master's level or intermediate undergraduate microeconomics (e.g., 90-803 Economic Principles of Policy Analysis or 90-710 Applied Economic Analysis). No prior knowledge of health care is supposed.",
Health Care Information Systems,94706,12," In a value-based care delivery environment with its emphasis on improving costs and service efficiency without risking quality of care, information technology has emerged as a powerful driving force in helping to achieve multiple goals within healthcare organizations. The explosive advances in information technology combined with the current challenges facing healthcare delivery have created the need for skilled individuals who can develop, understand, manage, and integrate healthcare information systems in organizations. This course will explore the concepts and application of major information systems methodologies and approaches in the delivery of modern healthcare systems, including traditional face-to-face, online, and mobile and social media enabled care delivery. A semester-long group project that synthesizes the different topics via the design and implementation of a working, integrated, healthcare decision support application will be a required component of the course. This course cannot be taken on a pass/fail option.","Learning Outcomes: 1. Understand and appreciate the role and value of information technologies in potentially revolutionizing healthcare delivery, administration, education, and research; 2. Distinguish the various types of healthcare information, including knowledge, data, sources, processes and standards; 3. Identify major health informatics applications and develop basic familiarity with healthcare IT products; 4. Analyze obstacles and success factors for implementation and integration of information, communication and decision technologies in healthcare; 5. Discuss the technical and policy implications of introducing informatics applications into healthcare for process efficiency and quality of care; 6. Develop teamwork skills to mediate the communication between healthcare professionals and information technology personnel; 7. Acquire hands-on experience in analyzing a problem arising from practice and implementing a solution using a health informatics approach."
Principles of Marketing,94707,6," Marketing, as a science and as a profession, is changing rapidly. Organizations are beginning to see the value in bringing different departments into strategic marketing and implementation. This is especially relevant with the challenge of understanding and analyzing data on customers, product offerings, and channels. How can different sources and types of data be used to help inform product development, market channel analysis and customer service and support? Today, marketing is to some extent defined outside the traditional marketing department, so how can the next generation of marketers address this challenge? This course provides an overview of marketing concepts focusing on definitions, mechanics, and practices. We will cover the basics of marketing but also delve into marketing’s role within various departments across the enterprise including supply chain logistics, sales force automation and public relations. We will have in-class exercises weekly to help students think about marketing's impact on various products and services as well as understand how digital, mobile, social and IoT are quickly changing the marketing landscape. We will touch upon some of the other offerings provided at the Heinz College and Carnegie Mellon focused on specific marketing channels and processes. This course is a pre-requisite for students who wish to take 93-821 Arts Marketing and Public Relations and recommended for any advanced marketing classes.",Learning Outcomes: • Understand the elements of marketing products and services • Assess and compare marketing campaigns based on different attributes • Apply knowledge in developing a strategic marketing plan • Exhibit ability to break down a marketing program by process • Describe current changes to marketing brought on by new technologies
Strategic Presentation Skills,94718,6," Strategic Presentation Skills As professionals, we present ourselves in a variety of ways, including the manner in which we collaborate, write, design visuals, and speak. Each of these influences how we are viewed, how others position us in an organisation and, in some cases, the pace at which we accelerate towards our career goals. The purpose of Strategic Presentation Skills is to use and further develop these skills to be able to produce and deliver focused, creative, evidence-driven approaches to the way we present ourselves verbally.","Learning Outcomes: • Speak with confidence and authority • Develop a clear outline that organises and structures information for a presentation • Apply good practice principles to presentations • Appropriately target and engage an audience • Apply principles of ethos, pathos, and logos • Use visual aids appropriately • Anticipate audience questions and respond confidently to them"
Business Intelligence & Analytics,94728,6, Description coming soon...,
Business Process Modeling,94774,6," Processes are the core technologies of all organizations for producing and delivering products and services that satisfy customer needs. Increasingly, in order to continue to serve their customers and remain competitive, organizations are required to continuously analyze, redesign, and improve their end-to-end core business processes in shorter and shorter time frames to achieve operational goals. Realizing this end-to-end business process integration requires an IT infrastructure that enables people, processes, and information to be integrated in a flexible manner.","Learning Outcomes: Demonstrate the relationships between business processes, strategy, and organizational performance. Define various process flow measurements and methods for calculating them. Diagnose the root causes of poor process performance and recommend appropriate managerial levers for improving them. Model, analyze, simulate, and redesign a process to achieve specific performance goals. Define the challenges and opportunities associated with IT-enabled business process automation. Create a business process mapping using Oracle’s BPM suite"
Unstructured Data Analytics for Policy,94775,6," Many organizations need to analyze large amounts of data such as text, images, audio, and video to discover useful information. For example, a company may want to monitor how the public discusses its products in social media, or a forensics team may need to discover the contents of disk drives seized by law enforcement. A recurring issue is that we often do not know what structure is present in the data initially. This course provides students with an understanding of common and emerging methods of organizing, summarizing, and analyzing large collections of this unstructured data (“unstructured data analytics”). There is some programming although the emphasis of the course will be more on concepts. For students interested in more hands-on experience with the coding aspects, consider taking 95-865 instead. Prerequisites: None","Learning Outcomes: By the end of the course, students are expected to have developed the following skills. Skills are assessed by the homework assignments and the final exam. * Recall and discuss common methods of conducting exploratory and predictive analysis of unstructured data; * Write Python code for exploratory and predictive data analysis; and * Apply unstructured data analysis techniques discussed in class to solve problems faced by governments and companies."
Negotiation,94800,6," Negotiation is the process by which two or more parties with interdependent interests secure agreements. This course is designed to cover the range of negotiation situations and issues faced by managers and decision makers. This course explores negotiations in many contexts: simple personal transactions, public and private sector collective bargaining, resolving disputes out of court, resolving conflicting interests within an organization, and resolving conflicting interests across organizations. This course will also explore ethical issues in negotiation and cognitive biases of negotiators. The objectives of this course are the following: - Introduce students to the analytical framework and concepts necessary to understand the complexity and dynamics of negotiation - Improve ability to analyze negotiations in a variety of contexts - Learn to balance the implicit tradeoffs of competition and cooperation inherent in most negotiations - Introduce students to a variety of tactics and strategies employed in negotiations - Improve ability to conduct successful negotiations - Learn to recognize more opportunities to negotiate",
